冷たいですか,温度質問,冷たい,,
冷えていますか,温度質問,冷たい,,
熱いですね,温度質問,熱い,,
あついですね,温度質問,熱い,,
暖かいですか,気温質問,暖かい,,
今日は暑いですか,気温質問,暑い,,
外は暑いですか,気温質問,暑い,,
外は寒いですか,気温質問,寒い,,
快適ですか,気温質問,快適,,
寒いね,気温質問,寒い,,
風が強いですか,風速質問,強風,,
自己紹介してよ,自己依頼,,,
自己紹介してください,自己依頼,,,
自己紹介して,自己依頼,,,
自己紹介お願いします,自己依頼,,,
ピザが食べたい,ピザ注文,,,
ピザの注文,ピザ注文,,,
ピザを注文したい,ピザ注文,,,
ピザを食べたい,ピザ注文,,,
明日の天気はどうですか,明日天気,,,
明日の天気,明日天気,,,
日が照っていますか,今日天気,,,
曇っていますか,今日天気,,,
天気は,今日天気,,,
雪が降りましたか,今日天気,,,
晴れですか,今日天気,,,
今日は晴れですね,今日天気,,,
今日は雨ですか,今日天気,,,
今日の予報はどうですか,今日天気,,,
今日の天気は,今日天気,,,
今週の天気,明日天気,,,
今の天気は,今日天気,,,
雨ですか,天気予報,,,
雨が降りますか,天気予報,,,
雨が降りましたか,天気予報,,,
お日様が見えましたか,今日天気,,,
明日の天気は,明日天気,,,
明日の予報は,明日天気,,,
明日の天気予報は,明日天気,,,
私の名前が解りますか,質問名前,,,
僕の名前が判りますか,質問名前,,,
僕の名前を知っていますか,質問名前,,,
名前わかる,質問名前,,,
わたしの名前を知っていますか,質問名前,,,
ぼくの名前わかる,質問名前,,,
私の名前を知っていますか,質問名前,,,
名前知っている,質問名前,,,
おぎゃー,擬声音-赤ちゃん,,,
あつい,感情苦痛,,,
暑いですね,気温感想,,,
軽いね,感情驚き,,,
ぼうっと,擬容語-ぼうっと,,,
可愛いな,容姿褒め,,,
かわいいよ,容姿褒め,,,
良いよ,良い評価,,,
いいね,良い評価,,,
かわいいね,容姿褒め,,,
良いね,良い評価,,,
いいな,良い評価,,,
お元気ですか,体調質問,,,
ばたばた,擬容語-ばたばた,,,
調子は,体調質問,,,
優しい,やさしい態度,,,
やさしいな,やさしい態度,,,
ずきずき,擬情語-ずきずき,,,
うっとり,擬情語-うっとり,,,
しんみり,擬情語-しんみり,,,
わんわん,擬声音-犬の鳴き声,,,
かわいい,容姿褒め,,,
おもしろい,感情楽しい,,,
可愛いよ,容姿褒め,,,
かわいいな,容姿褒め,,,
良いな,良い評価,,,
うんそう,感情共感,,,
うんうん,感情共感,,,
えーと,考え中,,,
ただいま,帰着挨拶,,,
ただいま,帰着挨拶,,,
ただいま、帰宅しました。,帰着挨拶,,,
いらっしゃい,歓迎挨拶,,,
いらっしやいませ,歓迎挨拶,,,
ご機嫌よう,挨拶,,,
お疲れ様,挨拶,,,
おつかれさま,挨拶,,,
お疲れさま,仕事挨拶,,,
お疲れ,仕事挨拶,,,
疲れた,感情倦怠,,,
つかれた,感情倦怠,,,
お疲れさまです,仕事挨拶,,,
おっはー,朝挨拶,,,
おはよう,朝挨拶,,,
おはようございます,朝挨拶,,,
こんばんは,夜挨拶,,,
面白いよ,感情楽しい,,,
面白いね,感情楽しい,,,
おもしろいよ,感情楽しい,,,
おもしろいな,感情楽しい,,,
眠い,感情眠気,,,
おやすみなさい,夜別れ挨拶,,,
おやすみ,夜別れ挨拶,,,
お元気ですか,体調質問,,,
帰りました,帰着挨拶,,,
只今、帰りました。,帰着挨拶,,,
お疲れさまでした,別れ挨拶,,,
お先に失礼いたします,別れ挨拶,,,
さむい,気温感想,,,
確信度表示モード,モード切替,確信度モード,,
凄いな,感情関心,,,
すごいな,感情関心,,,
可愛い,容姿褒め,,,
わくわく,擬情語-わくわく,,,
嫉妬,嫉妬,,,
ぐちゃぐちゃ,擬態音-ぐちゃぐちゃ,,,
元気ですか,体調質問,,,
今日は何の日,暦質問,,,
調子はどうだい,体調質問,,,
ご機嫌よう,挨拶,,,
ごきげんよう,挨拶,,,
ありがとうごさいました,お別れ挨拶,,,
いつも、お世話になっています,仕事挨拶,,,
毎度、お世話になっています,仕事挨拶,,,
いつもお世話になっております,仕事挨拶,,,
こんにちわ,昼挨拶,,,
こんにちは,昼挨拶,,,
ちわー,昼挨拶,,,
お疲れ,夜挨拶,,,
こんばんわ,夜挨拶,,,
こんばんは,夜挨拶,,,
お晩です,夜挨拶,,,
ざあざあ,擬態音-ざあざあ,,,
調子はどうだい,体調質問,,,
さようなら,別れ挨拶,,,
さよなら,別れ挨拶,,,
さらっと,擬態音-さらっと,,,
じゃあね,別れ挨拶,,,
凄いね,感情関心,,,
すごいね,感情関心,,,
涼しい,気温感想,,,
暑いね,気温感想,,,
今日は何曜日,暦質問,,,
ぐんぐん,擬容語-ぐんぐん,,,
調子はどうだい,体調質問,,,
優しいね,やさしい態度,,,
やさしいね,やさしい態度,,,
そうそう,感情共感,,,
肌寒い,気温感想,,,
残念,期待値不足,,,
晴れですね,天気同意,,,
気持ちの良い朝ですね,天気同意,,,
そうですね,感情共感,,,
凄いよ,感情関心,,,
すごいよ,感情関心,,,
そうね,感情共感,,,
今何時,時刻質問,,,
何時,時刻質問,,,
なんじ,時刻質問,,,
いま何時,時刻質問,,,
楽しかった,感情喜び,,,
元気だよ,体調質問,,,
げんきだよ,体調質問,,,
何の日,暦質問,,,
怒った,怒り,,,
怒り,怒り,,,
だったら,相槌反論,,,
ちわーす,昼挨拶,,,
通常モード,モード切替,通常モード,,
つるつる,擬態音-つるつる,,,
ありがとう,感謝,,,
有難う,感謝,,,
ありがとうございます,感謝,,,
寂しい,感情悲しみ,,,
怖い,感情恐怖,,,
恐ろしい,感情恐怖,,,
いらいら,擬情語-いらいら,,,
今日は疲れた,感情嫌気,,,
嫌になった,感情嫌気,,,
いやになった,感情嫌気,,,
疲れた,感情倦怠,,,
どんどん,擬態音-どんどん,,,
遊びましょう,勧誘遊び,,,
あそうぼう,勧誘遊び,,,
遊ぼう,勧誘遊び,,,
何でだよ,感情落胆,,,
なんでだよ,感情落胆,,,
こけこっこー,擬声音-鶏の鳴き声,,,
ハイ,再会挨拶,,,
話そう,勧誘会話,,,
お話ししよう,勧誘会話,,,
げんきですか,体調質問,,,
バイバーイ,別れ挨拶,,,
バイバイ,別れ挨拶,,,
はじめまして,初対面挨拶,,,
おはつ,初対面挨拶,,,
初めまして、よろしくお願いします,初対面挨拶,,,
初めまして,初対面挨拶,,,
ハロー,再会挨拶,,,
どきり,擬情語-どきり,,,
ふらり,擬容語-ふらり,,,
のろのろ,擬容語-のろのろ,,,
まいど,仕事挨拶,,,
また明日,別れ挨拶,,,
またね,別れ挨拶,,,
蒸し暑い,気温感想,,,
うろうろ,擬容語-うろうろ,,,
可愛いね,容姿褒め,,,
いいよ,良い評価,,,
やさしい,やさしい態度,,,
嬉しい,感情喜び,,,
楽しい,感情喜び,,,
幸せ,感情喜び,,,
うれしい,感情喜び,,,
よかった,感情共感,,,
おばんです,初対面挨拶,,,
げらげら,擬声音-笑い声,,,
バカ,軽蔑,,,
馬鹿,軽蔑,,,
おばかさん,軽蔑,,,
いらっしやいませ,歓迎挨拶,,,
元気かい,体調質問,,,
今後ともよろしくお願い致します,仕事別れ挨拶,,,
疲れた,感情倦怠,,,
悲しい,感情悲しみ,,,
どうなってるの,感情怒り,,,
どうなってるの,感情怒り,,,
辛い,感情悲しみ,,,
苦しい,感情悲しみ,,,
悲しいね,感情悲しみ,,,
寂しい,感情悲しみ,,,
ガンダムとはなんですか,ガンダム,,,
ガンダムについて教えてください,ガンダム,,,
ガンダムとは,ガンダム,,,
ガンダムは何,ガンダム,,,
ガンダム,ガンダム,,,
ガンダムの特徴は,ガンダム,,,
ガンダムについて教えて,ガンダム,,,
ガンキャノンとはなんですか,ガンダム,,,
ガンキャノンについて教えてください,ガンダム,,,
ガンキャノンとは,ガンダム,,,
ガンキャノンとは何,ガンダム,,,
ガンキャノン,ガンダム,,,
ガンキャノンの特徴は,ガンダム,,,
ガンキャノンついて教えて,ガンダム,,,
ザクとはなんですか,ガンダム,,,
アムロはどんな人ですか,ガンダム,,,
シャアはどんな人ですか,ガンダム,,,
ミライはどんな人ですか,ガンダム,,,
ブライトは指揮官ですか,ガンダム,,,
ミライとブライトは結婚しましたか,ガンダム,,,
ガンダムのパイロットは誰ですか,ガンダム,,,
ドムはなんですか,ガンダム,,,
グフはモビルスーツですか,ガンダム,,,
ゴッグは水陸両用モビルスーツですか,ガンダム,,,
ドムはホバーユニットを装備していますか,ガンダム,,,
ドムの武装には何がありますか,ガンダム,,,
初の水陸両用モビルスーツは何ですか,ガンダム,,,
ドムの地球侵攻を前提にしたモビルスーツですか,ガンダム,,,
アムロはニュータイプですか,ガンダム,,,
ザクはどんなモビルスーツですか,ガンダム,,,
モビルスーツとは何でか,ガンダム,,,
モビルスーツは何でか,ガンダム,,,
モビルスーツについて説明してください,ガンダム,,,
モビルスーツには何がありますか,ガンダム,,,
代表的なモビルスーツを挙げてください,ガンダム,,,
シャーとキャスバルは同じ人ですか,ガンダム,,,
セイラの本名は,ガンダム,,,
セイラが操縦した機体は,ガンダム,,,
ガンダムの頭部を掴んだ武器の名は,ガンダム,,,
ヒート・ロッドを装備するモビルスーツの名前は,ガンダム,,,
ドムのヒートサーベルの威力は,ガンダム,,,
ゲルググの開発経緯を説明してください,ガンダム,,,
ゲグググの設計について解説してください,ガンダム,,,
ゲルググのパイロットは誰,ガンダム,,,
ガンダムとドッキングさせて利用する装備は,ガンダム,,,
ジースカイとは何,ガンダム,,,
メガ粒子砲を搭載したモビルスーツは,ガンダム,,,
中距離支援用モビルスーツの名前は,ガンダム,,,
キャパピラを装備したモビルスーツの名前は,ガンダム,,,
コア・ブロック・システムを持つモビルスーツは,ガンダム,,,
ハロを作った人物は誰,ガンダム,,,
連邦のモビルスーツを列挙せよ,ガンダム,,,
ジオンのモビルスーつを列挙せよ,ガンダム,,,
アイアン・ネイルを装備するモビルスーツの名前は,ガンダム,,,
Ｖ作戦により開発されたモビルスーツの名前は,ガンダム,,,
白兵戦用の連邦のモビルスーツの名前は,ガンダム,,,
ルナ・チタニウム合金を使ったモビルスーツの名前は,ガンダム,,,
２名のパイロットが搭乗する連邦のモビルスーツの名前は,ガンダム,,,
マシンガンを装備しないジオン軍のモビルスーツの名前を挙げよ,ガンダム,,,
７３８機製造されたモビルスーツの名前は,ガンダム,,,
量産型として初のビーム・ライフルを装備したモビルスーツ名前は,ガンダム,,,
二つのパーツに分かれるモビルスーツの名前は,ガンダム,,,
ガンダムのパイロットの名前は,ガンダム,,,
ホワイトベースの館長の名前は,ガンダム,,,
ホワイトベースのパイロットは,ガンダム,,,
赤い彗星の異名を持つ人は,ガンダム,,,
バズーカを装備できる連邦のモビルスーツは,ガンダム,,,
黒い三連星と呼ばれたパイロットが操縦するモビルスーツは,ガンダム,,,
